date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:25:49	126235/126235	---M-Z	200	added ('OK')	text/html	etag:W/%224d35a0a8304934c0fba62eae22b9a213--gzip%22	https://luxury-barber.co.uk/book-an-appointment	C:/My%20Web%20Sites/luxery/luxury-barber.co.uk/book-an-appointment.html	(from )
13:25:50	382/382	---M-Z	200	added ('OK')	text/plain	date:Tue,%2014%20Jan%202025%2004:22:09%20GMT	https://luxury-barber.co.uk/robots.txt		(from )
13:25:51	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	C:/My%20Web%20Sites/luxery/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://luxury-barber.co.uk/book-an-appointment)
13:25:55	45781/45781	---M-Z	200	added ('OK')	text/javascript	etag:%22b95ce1d8be7b5c3e57c22b376336d3aa%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-eece41012801501a974d-min.en-US.js	C:/My%20Web%20Sites/luxery/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-eece41012801501a974d-min.en-US.js	(from https://luxury-barber.co.uk/book-an-appointment)
13:25:55	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	C:/My%20Web%20Sites/luxery/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://luxury-barber.co.uk/book-an-appointment)
13:25:55	89739/89739	---M-Z	200	added ('OK')	text/javascript	etag:%22c26cd9039436e210cc1ab908d060ec0e%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-907dfe7701e90c1e5cbd-min.en-US.js	C:/My%20Web%20Sites/luxery/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-907dfe7701e90c1e5cbd-min.en-US.js	(from https://luxury-barber.co.uk/book-an-appointment)
13:26:08	245728/245728	---M-Z	200	added ('OK')	text/javascript	etag:%22e99f3bf72eaae471251ad87586359fe8%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-61293f01d648eef165fc-min.en-US.js	C:/My%20Web%20Sites/luxery/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-61293f01d648eef165fc-min.en-US.js	(from https://luxury-barber.co.uk/book-an-appointment)
13:26:12	1196442/1196442	---M-Z	200	added ('OK')	text/javascript	etag:%2250d4789a0cb66d279781e1b02e14d541%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6c569122bfa66a51a056-min.en-US.js	C:/My%20Web%20Sites/luxery/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-6c569122bfa66a51a056-min.en-US.js	(from https://luxury-barber.co.uk/book-an-appointment)
13:26:13	32460/32460	---M-Z	200	added ('OK')	text/css	etag:%22afcab3a3d1d764e56b53c2a436eab071%22	http://assets.squarespace.com/universal/styles-compressed/commerce-3521e0fe0f49a15e7694-min.en-US.css	C:/My%20Web%20Sites/luxery/assets.squarespace.com/universal/styles-compressed/commerce-3521e0fe0f49a15e7694-min.en-US.css	(from https://luxury-barber.co.uk/book-an-appointment)
13:26:16	39521/39521	---M-Z	200	added ('OK')	text/javascript	etag:%224571e030bde45cbd8f171beb6e7e85d6%22	http://assets.squarespace.com/universal/scripts-compressed/performance-e71b26781eaccf31f6f4-min.en-US.js	C:/My%20Web%20Sites/luxery/assets.squarespace.com/universal/scripts-compressed/performance-e71b26781eaccf31f6f4-min.en-US.js	(from https://luxury-barber.co.uk/book-an-appointment)
13:26:25	1387418/1387418	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Jan%202025%2013:26:17%20GMT	https://static1.squarespace.com/static/versioned-site-css/66bf56f904042f37893c3c18/95/5c5a519771c10ba3470d8101/66bf56f904042f37893c3c20/1601/site.css	C:/My%20Web%20Sites/luxery/static1.squarespace.com/static/versioned-site-css/66bf56f904042f37893c3c18/95/5c5a519771c10ba3470d8101/66bf56f904042f37893c3c20/1601/site.css	(from https://luxury-barber.co.uk/book-an-appointment)
13:26:28	59305/59305	---M-Z	200	added ('OK')	text/css	etag:%22613fa20b-3171%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.4/css/all.min.css	C:/My%20Web%20Sites/luxery/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.4/css/all.min.css	(from https://luxury-barber.co.uk/book-an-appointment)
13:26:29	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%225eb03d5d-65c5%22	https://cdnjs.cloudflare.com/ajax/libs/aos/2.3.4/aos.css	C:/My%20Web%20Sites/luxery/cdnjs.cloudflare.com/ajax/libs/aos/2.3.4/aos.css	(from https://luxury-barber.co.uk/book-an-appointment)
13:26:30	664421/664421	---M-Z	200	added ('OK')	text/javascript	etag:%22f124ef23996eb232a38b13b99c269934%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-9d885b2cbf9c1a563d68-min.en-US.js	C:/My%20Web%20Sites/luxery/assets.squarespace.com/universal/scripts-compressed/common-vendors-9d885b2cbf9c1a563d68-min.en-US.js	(from https://luxury-barber.co.uk/book-an-appointment)
13:26:31	14690/14690	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03d5d-3962%22	https://cdnjs.cloudflare.com/ajax/libs/aos/2.3.4/aos.js	C:/My%20Web%20Sites/luxery/cdnjs.cloudflare.com/ajax/libs/aos/2.3.4/aos.js	(from https://luxury-barber.co.uk/book-an-appointment)
13:26:33	291096/291096	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Jan%202025%2013:26:32%20GMT	https://static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/versioned-assets/1736788689683-SD06JF3AZA8K2NM87NAI/static.css	C:/My%20Web%20Sites/luxery/static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/versioned-assets/1736788689683-SD06JF3AZA8K2NM87NAI/static.css	(from https://luxury-barber.co.uk/book-an-appointment)
13:26:38	220045/220045	---M-Z	200	added ('OK')	text/html	etag:W/%22793f7b6afdc0a21177d625c12d76dc7b%22	https://luxury-barber.co.uk/	C:/My%20Web%20Sites/luxery/luxury-barber.co.uk/index.html	(from https://luxury-barber.co.uk/book-an-appointment)
13:27:06	1568318/1568318	---M-Z	200	added ('OK')	text/javascript	etag:%2243b53de931d1d26ed18811f7156839e7%22	http://assets.squarespace.com/universal/scripts-compressed/common-cd895dd8ee0265279e26-min.en-US.js	C:/My%20Web%20Sites/luxery/assets.squarespace.com/universal/scripts-compressed/common-cd895dd8ee0265279e26-min.en-US.js	(from https://luxury-barber.co.uk/book-an-appointment)
13:27:17	0/0	---M--	302	error ('Found')	text/html	etag:W/%229f56cb0381f55fc11ddeae0076b5b84d%22	https://luxury-barber.co.uk/foldersb	C:/My%20Web%20Sites/luxery/luxury-barber.co.uk/foldersb.13.delayed	(from https://luxury-barber.co.uk/book-an-appointment)
13:27:20	2145769/2145769	---M-Z	200	added ('OK')	text/javascript	etag:%2270df8686f1df91c8457f569ace593cb8%22	http://assets.squarespace.com/universal/scripts-compressed/commerce-cccdd592c225c04f8bd6-min.en-US.js	C:/My%20Web%20Sites/luxery/assets.squarespace.com/universal/scripts-compressed/commerce-cccdd592c225c04f8bd6-min.en-US.js	(from https://luxury-barber.co.uk/book-an-appointment)
13:27:23	458983/458983	---M--	200	added ('OK')	image/png	etag:CLaEgtzL/ocDEAE=	http://images.squarespace-cdn.com/content/v1/66bf56f904042f37893c3c18/9760ba62-dd5b-46ef-bb6e-a4565ba92a48/FileStorage.DesignFile+12+(1).png?format=1500w	C:/My%20Web%20Sites/luxery/images.squarespace-cdn.com/content/v1/66bf56f904042f37893c3c18/9760ba62-dd5b-46ef-bb6e-a4565ba92a48/FileStorage.DesignFile+12+(1)26f7.png	(from https://luxury-barber.co.uk/book-an-appointment)
13:27:23	128839/128839	---MCZ	200	added ('OK')	text/html	etag:W/%22d46b2e74d6878460c7a68c9025587f74--gzip%22	https://luxury-barber.co.uk/stories	C:/My%20Web%20Sites/luxery/luxury-barber.co.uk/stories.html	(from https://luxury-barber.co.uk/book-an-appointment)
13:27:26	135137/135137	---MCZ	200	added ('OK')	text/html	etag:W/%22d18d03294aaae787d6631e81b9175450--gzip%22	https://luxury-barber.co.uk/pimlico-2	C:/My%20Web%20Sites/luxery/luxury-barber.co.uk/pimlico-2.html	(from https://luxury-barber.co.uk/book-an-appointment)
13:27:28	130452/130452	---MCZ	200	added ('OK')	text/html	etag:W/%22a6a89653d97f162c1201807b76861dd6--gzip%22	https://luxury-barber.co.uk/evolutionofbarbers	C:/My%20Web%20Sites/luxery/luxury-barber.co.uk/evolutionofbarbers.html	(from https://luxury-barber.co.uk/book-an-appointment)
13:27:30	156017/156017	---M-Z	200	added ('OK')	text/html	etag:W/%22a310b60d6b646c0ebf51f2e967aa6a65%22	https://luxury-barber.co.uk/christmas-in-pimlico-1	C:/My%20Web%20Sites/luxery/luxury-barber.co.uk/christmas-in-pimlico-1.html	(from https://luxury-barber.co.uk/book-an-appointment)
13:27:32	126403/126403	---M-Z	200	added ('OK')	text/html	etag:W/%22e9e9b72ca5057a586a4fa7fa17137055%22	https://luxury-barber.co.uk/blog	C:/My%20Web%20Sites/luxery/luxury-barber.co.uk/blog.html	(from https://luxury-barber.co.uk/book-an-appointment)
